timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std
192,8.3,8.372974214440514,34.38335274538447,0.1585665316577222,3.8223029707232787,1.8207122354281582,62.97187675767408,0.08959118374672935
193,8.3,8.045474007386739,37.98126452799262,0.15603839550912574,3.8223029707232787,1.634524968016233,64.03238680933205,0.10201325816659655
194,8.3,7.986195415937511,40.54734076228715,0.16394805793088582,3.8223029707232787,1.7330891966375974,64.8570019985583,0.11437095461870742
195,8.3,8.395016970704928,33.372321633617055,0.1593682780929414,3.8223029707232787,2.36573292756451,55.42115215912971,0.09509317475254805
196,8.3,7.847904267522246,38.799121808186996,0.1387518587050971,3.8223029707232787,1.8160771198959487,65.01137491041621,0.09406088970232013
197,8.3,7.900976944844922,41.78112180818699,0.16691006942112566,3.8223029707232787,1.9013837851525615,68.06253126732584,0.12406147828146993
198,8.3,7.687789132657111,42.90312180818698,0.17050621954869633,3.8223029707232787,1.863115937833421,68.96168120313813,0.13240425841750203
199,8.2,7.486024698573823,44.46312180818698,0.17268367504034182,3.841874542459709,1.8843109899709567,70.4205091140181,0.1268245364705394
200,8.2,7.613999723548849,45.55312180818699,0.17203941377711285,3.841874542459709,1.9685248782611302,73.44650787860473,0.13162942527721636
201,7.9,7.557348007792045,47.12112180818698,0.16721599717123156,3.78021163428716,1.7593469182460546,75.05557915481934,0.11096959436537135
202,7.7,7.716075946588615,47.82912180818698,0.1671188542067464,3.9509492530276824,1.3151914586786535,75.73920408461655,0.10910358649781704
203,7.7,7.681927721066991,48.963016784758345,0.1634300922447382,3.9509492530276824,1.2218264960948164,75.98600212516631,0.10776987117430752
204,7.5,7.87203414310688,51.26276107685682,0.1524782500345236,4.031128874149275,1.1451092407582069,77.05462427722306,0.08570685144022834
205,7.5,8.627363309457397,40.22932462990352,0.15871600762993593,4.031128874149275,2.5116736061227134,79.78271137007697,0.1095856761466782
206,7.5,8.380977295471382,41.49932462990351,0.17624903118090332,4.031128874149275,2.638770462076716,80.08136246915944,0.10557658999752452
